school,street
Norco High,2065 Temescal Avenue
Summit High (Continuation),43-330 Palm Royale Drive
Shadow Hills High,39-225 Jefferson Street
Palm Desert High,74-910 Aztec Road
La Quinta High,79-255 Westward Ho Drive
Amistad High (Continuation),83-501 Dillon Avenue
Indio High,81-750 Avenue 46
Tahquitz High,4425 Titan Trail
Alessandro High,831 East Devonshire Avenue
West Valley High,3401 Mustang Way
Hemet High,41701 Stetson Avenue
Patriot High,4355 Camino Real
Jurupa Valley High,10551 Bellegrave Avenue
Nueva Vista Continuation High,6836 34th Street
Rubidoux High,4250 Opal Street
Moreno Valley Online Academy,24521 Cactus Avenue
Canyon Springs High,23100 Cougar Canyon Drive
Valley View High,13135 Nason Street
Vista del Lago High,15150 Lasselle Street
March Mountain High,24551 Dracaea Avenue
Moreno Valley High,23300 Cottonwood Avenue
Cathedral City High,69250 Dinah Shore Drive
Desert Hot Springs High,65850 Pierson Boulevard
Mt. San Jacinto High,30800 Landau Boulevard
Palm Springs High,2401 East Baristo Road
Palo Verde High,667 North Lovekin Boulevard
Heritage High,26000 Briggs Road
Perris Lake High (Continuation),418 West Ellis
Paloma Valley High,31375 Bradley Road
Perris High,175 East Nuevo Road
Arlington High,2951 Jackson Street
Summit View Independent Study,6401 Lincoln Avenue
Martin Luther King Jr. High,9301 Wood Road
John W. North High,1550 West Third Street
Polytechnic High,5450 Victoria Avenue
Ramona High,7675 Magnolia Avenue
Abraham Lincoln Continuation,4341 Victoria Avenue
"Clayton A. Record, Jr., Elementary",1600 Malaga Drive
Mountain Heights Academy,1000 Ramona Boulevard
Mountain View High,1000 Ramona Boulevard
San Jacinto High,500 Idyllwild Drive
Hyatt Elementary,400 East Shaver Street
Coachella Valley High,83-800 Airport Boulevard
Lakeside High,32593 Riverside Drive
Keith McCarthy Academy,4305 Education Way
Ortega High,"520 Chaney Street, Building 100"
Temescal Canyon High,28755 El Toro Road
Elsinore High,21800 Canyon Drive
Great Oak High,32555 Deer Hollow Way
Temecula Valley High,31555 Rancho Vista Road
Chaparral High,27215 Nicolas Road
Vista Murrieta High,28251 Clinton Keith Road
Murrieta Mesa High,24801 Monroe Avenue
Murrieta Valley High,42200 Nighthawk Way
Citrus Hill High,18150 Wood Road
May Ranch Elementary,900 East Morgan
Rancho Verde High,17750 Lasselle Street
Val Verde High,972 West Morgan Street
Sacramento County SH Special Education,10474 Mather Boulevard
N.A. Chaderjian High,7650 South Newcastle Road
Mary B. Perry High,3100 Wright Road
Monterey Trail High,8661 Power Inn Road
Pleasant Grove High,9531 Bond Road
Cosumnes Oaks High,8350 Lotz Parkway
Valley High,6300 Ehrhardt Avenue
Calvine High,8333 Vintage Park Drive
Rio Cazadero High (Continuation),7825 Grandstaff Drive
Florin High,7956 Cottonwood Lane
Laguna Creek High,9050 Vicino Drive
Sheldon High,8333 Kingsbridge Drive
Franklin High,6400 Whitelock Parkway
Daylor (William) High (Continuation),6131 Orange Avenue
Elk Grove High,9800 Elk Grove-Florin Road
Jessie Baker,8850 Southside Avenue
Vista del Lago High,1970 Broadstone Parkway
Folsom Lake High,955 Riley Street
Cordova High,2239 Chase Drive
Folsom High,1655 Iron Point Road
Blanche Sprentz Elementary,249 Flower Drive
Estrellita Continuation High,12935 Marengo Road
Galt High,145 North Lincoln Way
Rosemont High,9594 Kiefer Boulevard
American Legion High (Continuation),3801 Broadway
Capital City Independent Study,7222 24th Street
Luther Burbank High,3500 Florin Road
Hiram W. Johnson High,6879 14th Avenue
John F. Kennedy High,6715 Gloria Drive
C. K. McClatchy High,3066 Freeport Boulevard
California Montessori Project-San Juan Campus,"5330A Gibbons Drive, Suite 700"
El Sereno Alternative Education,10700 Fair Oaks Boulevard
Bella Vista High,8301 Madison Avenue
Options for Youth-San Juan,5825 Windmill Way
Visions In Education,5030 El Camino Avenue
Casa Roble Fundamental High,9151 Oak Avenue
Del Campo High,4925 Dewey Drive
Encina Preparatory High,1400 Bell Street
Mira Loma High,4000 Edison Avenue
Rio Americano High,4540 American River Drive
San Juan High,7551 Greenback Lane
Laurel Ruff Transition,5325 Garfield Avenue
Center High,3111 Center Court Lane
Inderkum High,2500 New Market Drive
Natomas High,3301 Fong Ranch Road
Discovery High,3401 Fong Ranch Road
Natomas Charter,4600 Blackrock Drive
Heritage Peak Charter,6450 20th Street
Community Collaborative Charter,5715 Skvarla Avenue
SAVA: Sacramento Academic and Vocational Academy,"5330 Power Inn Road, Suite D"
Highlands Community Charter,1333 Grand Avenue
Elwood J. Keema High,1281 North Avenue
Grant Union High,1400 Grand Avenue
Highlands High,6601 Guthrie Way
Rio Linda High,6309 Dry Creek Road
Miles P. Richmond,4330 Keema Avenue
Sunnyslope Elementary,1475 Memorial Drive
San Benito High,1220 Monterey Street
Community School/Independent Alternative Education,601 North E Street
San Bernardino County Special Education,601 North E Street
Alta Vista Public,"11988 Hesperia Road, Suite B"
Alta Loma Elementary,7085 Amethyst Street
Central High (Continuation),405 North Second Avenue
Barstow High,430 South First Avenue
Crestline Elementary,2020 Monterey
Alta Loma High,8880 Baseline Road
Etiwanda High,13500 Victoria Avenue
Rancho Cucamonga High,11801 Lark Drive
Los Osos High,6001 Milliken Avenue
Colony High,3850 East Riverside Drive
Chaffey High,1245 North Euclid Avenue
Montclair High,4725 Benito Street
Ontario High,901 West Francis Street
Valley View High (Continuation),1801 East Sixth Street
Don Antonio Lugo High,13400 Pipeline Avenue
Ruben S. Ayala High,14255 Peyton Avenue
Chino Hills High,16150 Pomona Rincon Road
Buena Vista Continuation High,13509 Ramona Avenue
Chino High,5472 Park Place
Grand Terrace High School at the Ray Abril Jr. Educational Complex,21810 Main Street
Washington High,900 East C Street
Bloomington High,10750 Laurel Avenue
Colton High,777 West Valley Boulevard
Slover Mountain High (Continuation),325 Hermosa Street
Summit High,15551 Summit Avenue
Jurupa Hills High,10700 Oleander Avenue
Birch High (Continuation),7930 Locust Avenue
Citrus High (Continuation),10760 Cypress
Fontana A. B. Miller High,6821 Oleander Avenue
Henry J. Kaiser High,11155 Almond Avenue
Fontana High,9453 Citrus Avenue
Alta Vista South Public Charter,689 West Second Street
Hope Academy Charter,"12421 Hesperia Road, Suite 5"
Black Rock Alternative/Continuation,59273 Sunnyslope
Yucca Valley High,7600 Sage Avenue
Mojave River Academy,"16519 Victor Street, Suite 404"
Citrus Valley High,800 West Pioneer Avenue
Redlands East Valley High,31000 East Colton Avenue
Orangewood High (Continuation),515 Texas Street
Redlands Senior High,840 East Citrus Avenue
Wilmer Amina Carter High,2630 North Linden Avenue
Milor Continuation High,266 West Randall
Zupanic High,266 West Randall Avenue
Rialto High,595 South Eucalyptus Avenue
Eisenhower Senior High,1321 North Lilac Avenue
Rim of the World Senior High,27400 Highway 18
Options for Youth-San Bernardino,985-A South E Street
Indian Springs High,650 North Del Rosa Drive
San Andreas High,3232 East Pacific Street
Provisional Accelerated Learning Academy,2450 Blake Street
Arroyo Valley High,1881 West Baseline Street
Cajon High,1200 Hill Drive
Sierra High,570 East Ninth Street
Pacific High,1020 Pacific Street
San Bernardino High,1850 North E Street
San Gorgonio High,2299 East Pacific Avenue
Anderson,24302 East Fourth Street
Roosevelt Elementary,1554 Garner Avenue
Adelanto High,15620 Joshua Street
Goodwill High,16350 Mojave Drive
Options for Youth-Victorville Charter,15048 Bear Valley Road
Excelsior Charter,"18422 Bear Valley Road, Building 11"
Silverado High,14048 Cobalt Road
Victor Valley High,16500 Mojave Drive
Yucaipa High,33000 Yucaipa Boulevard
Congressman Jerry Lewis Elementary,1800 Blackhawk Street
Serrano High,9292 Sheep Creek Road
Chaparral High,9258 Malpaso Road
Mirus Secondary,"14073 Main Street, Suite 103"
Canyon Ridge High,12850 Muscatel Avenue
Oak Hills High,7625 Cataba Road
Hesperia High,9898 Maple Avenue
Mojave High,16633 Lemon
Sultana High,17311 Sultana Avenue
Shadow Ridge,12850 Muscatel Street
Sky Mountain Charter,"4535 Missouri Flat Road, Suite 1A"
Upland High,565 West 11th Street
Apple Valley High,11837 Navajo Road
Granite Hills High,22900 Esaws Road
High Desert Premier Academy,21950 Nisqually Road
San Diego County Community,"6401 Linda Vista Road, Room 216"
San Diego County Court,2801 Meadow Lark Drive
Feaster (Mae L.) Charter,670 Flower Street
Coronado High,650 D Avenue
Diego Hills Charter,4585 College Avenue
San Pasqual High,3300 Bear Valley Parkway
Escondido Charter High,1868 East Valley Parkway
Valley High (Continuation),410 North Hidden Trails Road
Escondido High,1535 North Broadway
Orange Glen High,2200 Glen Ridge Road
Fallbrook High,2400 South Stage Coach Lane
Valhalla High,1725 Hillsdale Road
West Hills High,8756 Mast Boulevard
Steele Canyon High,12440 Campo Road
El Cajon Valley High,1035 East Madison Avenue
El Capitan High,10410 Ashwood Street
Granite Hills High,1719 East Madison Avenue
Chaparral High,1600 North Cuyamaca Street
Grossmont High,1100 Murray Drive
Helix High,7323 University Avenue
Monte Vista High,3230 Sweetwater Springs Boulevard
Mount Miguel High,8585 Blossom Lane
Santana High,9915 North Magnolia Avenue
Diego Valley Charter,511 North 2nd Street
Julian Charter,1704 Cape Horn
National University Academy,2030 University Drive
Eucalyptus Hills Elementary,11838 Valle Vista Road
San Diego Virtual,3291 Buckman Springs Road
Academy of Arts and Sciences: El Cajon Middle and High (6-12),850 Hampshire Road Suite C
Del Norte High,16601 Nighthawk Lane
Mt. Carmel High,9550 Carmel Mountain Road
Rancho Bernardo High,13010 Paseo Lucido
Westview High,13500 Camino Del Sur
Abraxas Continuation High,12450 Glenoak Road
Poway High,15500 Espola Road
Montecito High (Continuation),720 Ninth Street
Ramona High,1401 Hanson Lane
Crawford High,4191 Colts Way
Lincoln High,4777 Imperial Avenue
Laurel Preparatory Academy,10170 Huennekens Street
Serra High,5156 Santo Road
Mira Mesa High,10510 Reagan Road
Twain High,6402 Linda Vista Road
Scripps Ranch High,10410 Treena Street
Charter School of San Diego,10170 Huennekens Street
TRACE,"2555 Camino Del Rio South, Suite 150"
Clairemont High,4150 Ute Drive
Audeo Charter,10170 Huennekens Street
Henry High,6702 Wandermere Drive
Hoover High,4474 El Cajon Boulevard
La Jolla High,750 Nautilus Street
Madison High,4833 Doliva Drive
Mission Bay High,2475 Grand Avenue
Morse High,6905 Skyline Drive
Point Loma High,2335 Chatsworth Boulevard
Garfield High,1255 16th Street
Doyle Elementary,3950 Berino Court
Canyon Crest Academy,5951 Village Center Loop Road
Torrey Pines High,3710 Del Mar Heights Road
La Costa Canyon High,1 Maverick Way
Smythe Elementary,1880 Smythe Avenue
George Nicoloff Elementary,1777 Howard Avenue
California Virtual Academy @ San Diego,50 Moreland Road
,1130 Fifth Avenue
Olympian High,1925 Magdalena Avenue
Southwest Senior High,1685 Hollister Street
Bonita Vista Senior High,751 Otay Lakes Road
Castle Park Senior High,1395 Hilltop Drive
Eastlake High,1120 Eastlake Parkway
Chula Vista Senior High,820 Fourth Avenue
MAAC Community Charter,1385 Third Avenue
San Ysidro High,5353 Airway Road
Otay Ranch Senior High,1250 Olympic Parkway
Palomar High,480 Palomar Street
Hilltop Senior High,555 Claire Avenue
Mar Vista Senior High,505 Elm Avenue
Sweetwater High,2900 Highland Avenue
Montgomery Senior High,3250 Palm Avenue
SIATech,"2611 Temple Heights Drive, Suite A"
Major General Raymond Murray High,215 North Melrose Drive
Mission Vista High,1306 Melrose Drive
Vista Adult Transition Center,325 East Bobier Drive
Rancho Buena Vista High,1601 Longhorn Drive
Alta Vista High (Continuation),1575 Bonair Drive
Vista High,1 Panther Drive
Carlsbad High,3557 Monroe Street
Pacific View Charter,3670 Ocean Ranch Boulevard
Oceanside High,1 Pirates Cove Way
El Camino High,400 Rancho del Oro Drive
Mission Hills High,1 Mission Hills Court
San Marcos High,1615 San Marcos Boulevard
Valley Center High,31322 Cole Grade Road
Valley Center Primary,14249 Fruitvale Road
S.F. County Civic Center Secondary,727 Golden Gate Avenue
,555 Franklin Street
Five Keys Charter (SF Sheriff's),1 Moreland Drive
Five Keys Adult School (SF Sheriff's),70 Oak Grove
Five Keys Independence HS (SF Sheriff's),70 Oak Grove
S.F. International High,1050 York Street
Gateway to College,"50 Phelan Avenue Science Hall, Room 127"
Wells (Ida B.) High,1099 Hayes Street
Downtown High,693 Vermont Street
Independence High,1350 7th Avenue
Wallenberg (Raoul) Traditional High,40 Vega Street
Burton (Phillip and Sala) Academic High,400 Mansell Street
Balboa High,1000 Cayuga Avenue
"Asawa (Ruth) SF Sch of the Arts, A Public School",555 Portola Drive
Marshall (Thurgood) High,45 Conkling Street
Galileo High,1150 Francisco Street
Lincoln (Abraham) High,2162 24th Avenue
Lowell High,1101 Eucalyptus Drive
Mission High,3750 18th Street
Washington (George) High,600 32nd Avenue
San Joaquin Building Futures Academy,3100 Monte Diablo Avenue
San Joaquin County Community,2707 Transworld Drive
Venture Academy,2829 Transworld Drive
San Joaquin County Special Education,2707 Transworld Drive
Lincoln High,6844 Alexandria Place
Ellerth E. Larson Elementary,2375 Giannoni Way
Ronald E. McNair High,9550 Ronald East McNair Way
Podesta Ranch Elementary,9950 Windmill Park Drive
Bear Creek High,10555 Thornton Road
Plaza Robles Continuation High,9434 Thornton Road
Independence,13451 North Extension Road
Tokay High,1111 West Century Boulevard
Liberty High,660 West Walnut Street
Lodi High,3 South Pacific Avenue
Lathrop High,647 West Lathrop Road
Sierra High,1700 Thomas Street
East Union High,1700 North Union Road
Manteca High,450 East Yosemite Avenue
Calla High,130 South Austin Road
Golden West Elementary,1031 North Main Street
California Virtual Academy @ San Joaquin,50 Moreland Road
Renew Virtual Academy K12 #1,343 E. Main Street Suite 715
Delta Charter Online,31400 S. Koster Road
Cesar Chavez High,2929 Windflower Lane
Stockton High,22 South Van Buren Street
Jane Frederick High,1141 East Weber Avenue
Edison High,100 W Dr Martin Luther King Blv
Franklin High,300 North Gertrude Street
Stagg Senior High,1621 Brookside Road
Walton Development Center,4131 North Crown Avenue
George and Evelyn Stein Continuation,650 West 10th Street
John C. Kimball High,3200 Jaguar Run
Merrill F. West High,1775 West Lowell Avenue
Tracy High,315 East 11th Street
South/West Park Elementary,500 West Mount Diablo Road
Grizzly ChalleNGe Charter,721 Mendocino Avenue Camp San Luis Obispo
Atascadero High,1 High School Hill
Nipomo High,525 North Thompson Road
Arroyo Grande High,495 Valley Road
San Luis Obispo High,1499 San Luis Drive
Paso Robles High,801 Niblick Road
Liberty High (Continuation),810 Niblick Road
San Mateo County Special Education,101 Twin Dolphin Drive
Nesbit Elementary,500 Biddulph Way
McKinley Elementary,701 Paloma Avenue
Half Moon Bay High,Lewis Foster Drive
Jefferson High,6996 Mission Street
Westmoor High,131 Westmoor Avenue
Burlingame High,1 Mangini Way
Hillsdale High,3115 Del Monte Street
Carlmont High,1400 Alameda de Las Pulgas
Menlo-Atherton High,555 Middlefield Road
Redwood High,1968 Old County Road
Sequoia High,1201 Brewster Avenue
Woodside High,199 Churchill Avenue
South San Francisco High,400 B Street
Cabrillo High,4350 Constellation Road
Maple High,4010 Jupiter Ave
Lompoc High,515 West College Avenue
Joe Nightingale Elementary,255 Winter Road
Pioneer Valley High,675 Panther Drive
Delta High,4893 Bethany Lane
Ernest Righetti High,941 East Foster Road
Santa Maria High,901 South Broadway
Santa Ynez Valley Union High,2975 East Highway 246
Alta Vista Alternative High,215 East Ortega Street
Dos Pueblos Senior High,7266 Alameda Avenue
San Marcos Senior High,4750 Hollister Avenue
Santa Barbara Senior High,700 East Anapamu Street
Rocketship Fuerza Community Prep,70 South Jackson Avenue
Santa Clara County Special Education,"1290 Ridder Park Drive, MC271"
Vinci Park Elementary,1311 Vinci Park Way
Fammatre Elementary,2800 New Jersey Avenue
Boynton High,901 Boynton Avenue
Del Mar High,1224 Del Mar Avenue
Westmont High,4805 Westmont Avenue
Chester W. Nimitz Elementary,545 East Cheyenne Drive
John Muir Elementary,6560 Hanover Drive
William Regnart Elementary,1170 Yorkshire Drive
"Escuela Popular/Center for Training and Careers, Family Learning",149 North White Road
Calero High,420 Calero Avenue
Yerba Buena High,1855 Lucretia Avenue
Santa Teresa High,6150 Snell Road
Independence High,1776 Educational Park Drive
San Jose Conservation Corps Charter,1560 Berger Drive
Escuela Popular Accelerated Family Learning,467 North White Road
Foothill High,230 Pala Avenue
Andrew P. Hill High,3200 Senter Road
James Lick High,57 North White Road
Mt. Pleasant High,1750 South White Road
Oak Grove High,285 Blossom Hill Road
William C. Overfelt High,1835 Cunningham Avenue
Silver Creek High,3434 Silver Creek Road
Rocketship Spark Academy,683 Sylvandale Avenue
Cupertino High,10100 Finch Avenue
Fremont High,1279 Sunnyvale-Saratoga Road
Homestead High,21370 Homestead Road
Lynbrook High,1280 Johnson Avenue
Christopher High,850 Day Road
Gilroy High,750 West Tenth Street
Mt. Madonna High,8750 Hirasaki Court
Eliot Elementary,475 Old Gilroy Street
Antonio Del Buono Elementary,9300 Wren Avenue
Los Gatos High,20 High School Court
Saratoga High,20300 Herriman Avenue
Ann Sobrato High,401 Burnett Avenue
Live Oak High,1505 East Main Avenue
Central High (Continuation),85 Tilton Avenue
El Toro Elementary,455 East Main Avenue
Mariano Castro Elementary,505 Escuela Avenue
Los Altos High,201 Almond Avenue
Mountain View High,3535 Truman Avenue
Henry M. Gunn High,780 Arastradero Road
Palo Alto High,50 Embarcadero Road
Greendell,4120 Middlefield Road
Liberty High (Alternative),"5845 Allen Avenue, Suite 2"
Downtown College Preparatory,1402 Monterey Highway
Broadway High,4825 Speak Lane
Leland High,6677 Camden Avenue
Abraham Lincoln High,555 Dana Avenue
Pioneer High,1290 Blossom Hill Road
Willow Glen High,2001 Cottle Avenue
Santa Clara High,3000 Benton Street
Wilson Alternative,1840 Benton Street
Adrian Wilcox High,3250 Monroe Street
Athenour Early Childhood Education Center,5200 Dent Ave
Milpitas High,1285 Escuela Parkway
Santa Cruz County Community,400 Encinal Street
Santa Cruz County Special Education,400 Encinal Street
Pajaro Valley High,500 Harkins Slough Road
Aptos High,100 Mariner Way
Watsonville High,250 East Beach Street
Ocean Grove Charter,16900 North Highway Nine
Harbor High,300 La Fonda Avenue
Santa Cruz High,415 Walnut Avenue
Foothill High,9733 Deschutes Road
Enterprise High,3411 Churn Creek Road
Solano County Special Education,"Golden Hills Education Center 2460 Clay Bank Road, Building 8"
Benicia High,1101 Military West
Angelo Rodriguez High,5000 Red Top Road
Armijo High,824 Washington Street
Fairfield High,205 East Atlantic Avenue
Sem Yeto Continuation High,205 East Atlantic Avenue
Oakbrook Elementary,700 Oakbrook Drive
Vanden High,2951 Markeley Lane
Will C. Wood High,998 Marshall Road
Country High,100-B McClellan Street
Vacaville High,100 Monte Vista Avenue
Eugene Padan Elementary,200 Padan School Road
Jesse M. Bethel High,1800 Ascot Parkway
John Finney High (Continuation),233 Hobbs Avenue
Vallejo High,840 Nebraska Street
Vallejo Adult Transition,425 Corcoran Ave
Sonoma County Special Education,5340 Skylane Boulevard
Gateway to College Academy,680 Sonoma Mountain Parkway Santa Rosa Junior College
Casa Grande High,333 Casa Grande Road
Elsie Allen High,599 Bellevue Avenue
Montgomery High,1250 Hahman Drive
Piner High,1700 Fulton Road
Ridgway High (Continuation),325 Ridgway Avenue
Santa Rosa High,1235 Mendocino Avenue
Sonoma Valley High,20000 Broadway
Rancho Cotate High,5450 Snyder Lane
Windsor High,8695 Windsor Road
Mattie Washburn Elementary,75 Pleasant Avenue
Stanislaus Alternative Charter,"1120 13th Street, Suite C"
Stanislaus County Institute of Learning,3113 Mitchell Road
Central Valley High,4033 Central Avenue
Endeavor Alternative,2555 Lawrence Street
Argus High (Continuation),2555 Lawrence Street
Ceres High,2320 Central Avenue
Denair Charter Academy,3460 Lester Road
Sonoma Elementary,1325 Sonoma Avenue
James C. Enochs High,3201 Sylvan Avenue
Joseph A. Gregori High,3701 Pirrone Road
Fred C. Beyer High,1717 Sylvan Avenue
Peter Johansen High,641 Norseman Drive
Grace M. Davis High,1200 West Rumble Road
Thomas Downey High,1000 Coffee Road
Modesto High,18 H Street
Robert Elliott Alternative Education Center,1440 Sunrise Avenue
Patterson High,200 North Seventh Street
Crossroads Elementary,5800 Saxon Way
Sherwood Elementary,819 Rumble Road
Hunt Elementary,907 R Street
Oakdale High,739 West G Street
Connecting Waters Charter,12420 Bentley Street
John H. Pitman High,2525 West Christofferson Parkway
Turlock High,1600 East Canal Drive
Sutter County Special Education,970 Klamath Lane
South Sutter Charter,2452 El Centro Boulevard
River Valley High,801 El Margarita Road
Yuba City High,850 B Street
Red Bluff High,1260 Union Street
Special Education,6200 South Mooney Boulevard
Orosi High,41815 Road 128
Crescent Valley Public Charter,"309 West Main Street, Suite 110"
Heritage Elementary,895 West Gail Avenue
Mission Oak High,3442 East Bardsley Avenue
Tulare Union High,755 East Tulare Avenue
Tulare Western High,824 West Maple Avenue
Visalia Charter Independent Study,1821 West Meadow Lane
Golden West High,1717 North McAuliff Road
El Diamante High,5100 West Whitendale Avenue
Mt. Whitney High,900 South Conyer Street
Redwood High,1001 West Main Street
Sequoia High,901 North Mooney Boulevard
Farmersville High,631 East Walnut Avenue
J. E. Hester Elementary,477 East Ash Street
Butterfield Charter High,900 West Pioneer Avenue
Granite Hills High,1701 East Putnam Avenue
Monache High,960 North Newcomb Street
Porterville High,465 West Olive Avenue
Ronald Reagan Academy,470 Avenue 406
Dinuba High,340 East Kern Street
Sonora High,430 North Washington Street
Vista Real Charter High,"401 South A Street, Suite 3"
Ventura County Special Education,5189 Verdugo Way
Fillmore Senior High,555 Central Avenue
Harrington Elementary,451 East Olive Street
McKinna Elementary,1611 South J Street
Christa McAuliffe Elementary,3300 West Via Marina Avenue
Emilie Ritchen Elementary,2200 Cabrillo Way
Condor High,309 South K St
Frontier High,545 Airport Way
Pacifica High,600 East Gonzales Road
Adolfo Camarillo High,4660 Mission Oaks Boulevard
Channel Islands High,1400 Raiders Way
Hueneme High,500 West Bard Road
Oxnard High,3400 West Gonzales Road
Rio Mesa High,545 Central Avenue
Apollo High,3150 School Street
Royal High,1402 Royal Avenue
Simi Valley High,5400 Cochran Street
Berylwood Elementary,2300 Heywood Street
Buena High,5670 Telegraph Road
Ventura High,2 North Catalina Street
Westlake High,100 North Lakeview Canyon Road
Newbury Park High,456 North Reino Road
Thousand Oaks High,2323 North Moorpark Road
Oak Park High,899 Kanan Road
Moorpark High,4500 Tierra Rejada Road
Santa Paula High,404 North Sixth Street
Davis Senior High,315 West 14th Street
River City High,1 Raider Lane
Southport Elementary,2747 Linden Road
Woodland Senior High,21 North West Street
Yuba County Career Preparatory Charter,1104 E Street
Lindhurst High,4446 Olive Drive
Lincoln (Abraham) (Alternative),1949 B Street
