school,avgscrwrite,phone
San Jose Development Ctr. (PAU),,
Stevenson (Robert L.) (Sld-Aph,,
Sutherland (Aphasia),,
Tonopah (PAU),,
Vine (Sld-Aphasia),,
"Willow (Sld,Aphasia)",,
Badillo (Special Education),,
Gladstone Street (Special Educ,,
Jefferson (Special Education),,
La Merced (Special Education),,
"Merced School (MH,Autism)",,
Waite (Special Education),,
Wilson School (MH),,
Bell Gardens High,,
Burroughs Senior High,,
Adams School,,
Agoura High,,
Cameron,,
Columbia_(PAU),,
Demille (Cecil B.) School,,
Howe (John Wesley) School,,
Lanterman (Frank D.) Hospital,,
Lark Ellen School,,
Millikan (Robert A.) High (Sld,,
Oak Grove School (MH),,
Roosevelt (Theodore) School,,
Sage,,
Valleydale,,
Washington Junior High,,
Sunflower Intermediate Pau,,
"Bellflower High (Autistic,Apha",,
Canyon High,,
Charter Oak Hospital,,
Collins (Captain Raymond),,
Franklin (Deaf and Hard of Hea,,
Gladstone,,
"Joshua (Deaf & Severly Hi,Apha",,
Lakewood High,,
La Mirada High,,
La Mirada Pau,,
Madison,,
Optimist Community Day Center,,
McKinley,,
Nottingham (Ralph),,
Rancho School,,
Shively (Dean L.),,
La Merced,,
Round Meadow,,
"Washington (Oh,MH)",,
Wood (Howard),,
Adams (John)(Aphasia),,
Brainard School (MH),,
Cameron School,,
Carver School,,
Casa Colina,,
Condit (Eleanor Daly) (Aphasia,,
Emerson (Ralph Waldo)(MH),,
Gateways Cntr (MH),,
Grandview Junior High,,
Hillcrest,,
Kwis School,,
Lexington,,
Los Molinos (PAU),,
Meadows School,,
Mountain View School (MH),,
San Gabriel Valley/Training Ce,,
San Jose Special Class,,
Sierra Education Center/Par,,
"Lincoln (Abraham) School (Oh,A",,
Sunkist (Autism),,
White Oaks (PAU),,
Wing Lane (Aphasia),,
Workman High (Aphasia),,
Antelope Valley High,,
Arroyo High (Aphasia),,
Jefferson Intermediate (Aphasi,,
Lincoln Training Center (MH),,
Lindstrom (Vh),,
Longfellow (Aphasia),,
Redondo Union High (Aphasia),,
Sumner (Aphasia),,
Willowood (MH),,
Banna-West (MH),,
Ranger (PAU),,
Willow Training Center (MH),,
"Collegewood School (Autistic,M",,
Gallatin School (Aphasia),,
Hickory School (Vh),,
Walnut High School (MH),,
Cypress School,,
Fairgrove School,,
Aviation High (MH),,
Carr (Evelyn) School (Aphasia),,
Cedargrove Special Education,,
Charter Oaks High,,
Collidge (MH),,
Danbury School (TMH),,
Los Cerritos School (MH),,
Mt. San Antonia (TMH),,
"Pasadena High (Autism,TMH)",,
Suzanne Intermediate (TMH),,
Victor School (DHH),,
"Washington School (MH,Autism)",,
West Covina High (TMH),,
Nelles (Fred C.),,
Southern Reception Center-Clinic,,
Preschool Center,,
ABC Evening High School,,
Bloomfield Elementary,,
Cabrillo Lane Elementary YR,,
Carmenita Elem.,,
William J. (Pete) Knight High,442.0,(661) 533-9000
Desert Pathways,,
Eastside High,409.0,(661) 946-3800
SOAR High (Students On Academic Rise),496.0,(661) 722-6300
Los Angeles County Online High,,(800) 985-0770
Academies of the Antelope Valley,,(661) 948-7655
Independent Study,,
Sierra Paloma,,
Lancaster High,449.0,(661) 726-7649
Phoenix High Community Day,,(661) 274-4619
Hearns (Henry) Charter,,
Desert Sands Charter,,(661) 942-3357
R. Rex Parris High,,(661) 274-1230
Huntington High (Cont.),,
Arcadia Adult,,(626) 821-8371
Bonita Park Elementary,,
Santa Anita Elementary,,
Longfellow,,
Longfellow,,(626) 815-4700
Citrus Laboratory,,
Alternative Learning Ctr. (Cont.),,
William Drendel Elementary,,
Alternative Learning Center (Cont.),,
Opportunities For Learning - Baldwin Park II,426.0,(626) 962-3311
Baldwin Park Alternative,,
Baldwin Park Community Day,,
Opportunities for Learning - Baldwin Park,447.0,(626) 814-0161
Puente Valley Charter Middle,,
Bassett Elementary,,
Keenan (Ethel D.) Elementary,,
Florence E. Flanner Elementary,,
Las Flores Home Education Independent Study Academy,,(562) 888-1656
Bellflower Alternative Education Center,,(562) 866-9011
Albert Baxter Elementary,,(562) 531-1602
Intensive Learning Center,,(562) 633-6492
Lincoln Elementary,,
Thompson (May) Elementary,,
Rogers (Will) Elementary,,
Woodrow Wilson (Defunct),,
Roosevelt (Franklin D.) Junior,,
Betsy Ross Center (MH) Preschool,,
Adult Transition Program,,(909) 971-8230
Bonita Unified Alternative Ed.,,
Vista (Alternative),,(909) 971-8242
La Verne Primary,,
Off Campus Learning Center,,
Burbank Unified Independent Learning Academy (BUILA),,(818) 558-5353
Burroughs (John) Evening High,,
Options for Youth-Burbank Charter,464.0,(818) 566-7525
Burbank USD Community Day,,(818) 558-4693
Franklin Elementary,,
Lincoln Elementary,,
Mann Elementary,,
Mingay Elementary,,
Monterey Avenue Elementary,,
Northlake Hills Elementary,,(661) 257-4560
Non-RIS Preschool CMS,,(661) 257-4500
Media Art Academy at Centinela,,
Centinela Valley Independent Study,,(310) 263-4469
Family First Charter,,(310) 355-0001
New Opportunities Charter,,(310) 355-0001
South Bay Academy Community Day,,(424) 255-4066
Lawndale High,423.0,(310) 263-3102
Lennox High,,
Foundation High,,
Royal Oak High,,
Charter Oak Alternative Education,,
Oak Knoll Alternative,,(626) 852-7972
Bridges Community Day,,(626) 914-3961
Banna Elementary,,
Charter Oak Elementary,,
Palm View Elementary,,
Sunflower Intermediate,,
Charter Oak Foundation,,
Community Day,,(909) 398-0316
La Puerta Intermediate,,
Central Continuation (Puente C,,
Covina Valley Continuation Hig,,
Cienega Elementary,,
Edwards (Eva D.) Intermediate,,
Fairvalley Elem.,,
Griswold Elementary,,
Pioneer Elem. (Defunct),,
Sunkist Elementary,,
Vincent Elementary,,
Culver City Unified School District iAcademy,,(310) 842-4200
Culver City Community Day,,
Betsy Ross Elementary,,
El Marino Elementary,,(310) 842-4241
Linda Vista Elementary,,
Washington Elementary,,
Culver City Childrens Center,,
Southeast Training Center,,
Downey Elementary,,
Unsworth Elementary,,(562) 904-3576
Meadow Park Elementary,,
Rancho Santa Gertrudes Element,,
Rives Avenue Elementary,,
Roger Casier Elem.,,
Woodruff Junior High,,
San Francisco Training Center,,
Development Center,,
Tele-Teaching Center,,
Unsworth School,,
Downey District Programs,,
Old River Elementary,,(562) 904-3561
Opportunities for Learning - Duarte,,(626) 921-8200
California School of the Arts - San Gabriel Valley,,(657) 321-4000
Alternative Education Work Center,,
Eastside Academy,,
Eastside Academy/Transitional Learning Center,,(661) 952-1200
Enterprise Elementary,,(661) 946-6277
Tierra Bonita Elementary,,(661) 946-3038
Mar Vista Early Childhood Center,,
Charles T. Samuels Elementary,,
Leffingwell Elementary,,
Mar Vista Elementary,,
Valley View Elem.,,
Mar Vista School,,
Byron E. Thompson Elementary,,
Rosemead Adult,,
South El Monte High,427.0,(626) 442-0218
El Monte Union High School Community Day,,(626) 258-4943
Eugene A. Obregon,,
El Rancho Alternative Education Center,,
Ellen Ochoa Prep Academy,,(562) 801-5208
Maizeland Elementary,,
Selby Grove Elementary,,
Mary E. Meller Elementary,,
Child Care Center,,
Home and Independent Study,,
Imperial Avenue (Special Education),,
El Segundo Junior High,,
Imperial Elementary,,
Development Center for Handica,,
Richmond Street Elementary,,(310) 615-2676
Ingleside Mental Health Center,,
Home Teacher,,
Ingleside Hospital,,
Maryvale Orphange,,
Garvey School District Program,,
Pacific Avenue - Early Bird Preschool,,(818) 246-0450
Cloud Preschool,,(818) 249-1414
Home Jr-Sr High,,
Home Junior-Senior High,,
Teen Mother Program,,
Glendale Evening High,,
Anderson W. Clark Magnet High,539.0,(818) 248-8324
Jewel City Community Day,,(818) 241-3111
Field (Eugene) Elementary,,
Home Elem.,,
Lowell (James Russell) Element,,
Montrose Elementary,,
Valley View Elementary,,(818) 236-3771
Clark (Anderson W.) Junior Hig,,
"Home, Glendale Jr. High",,
Williams Educational Center,,(626) 963-1611
Glendora Adult School,,
Glendora Unified Alternative Education,,
Glendora Unified Alternative Education,,
Bidwell Elementary,,
Gordon Elementary,,
Roosevelt Elementary,,
"Antelope Valley Desert Montessori Schools, Inc.",,
Gorman Learning Center,473.0,(909) 307-6312
Lifeline Education Charter,,
Gorman Middle,,
Hawthorne Math and Science Academy,492.0,(310) 973-8184
Academy for Recording Arts,,
Prairie Vista Middle,,(310) 679-1003
Kornblum,,(310) 970-4294
Opportunities for Learning - Hermosa Beach,,
"Options for Youth-Hermosa Beach, Inc.",,
Hermosa View Elementary,,(310) 798-1680
North Elementary,,
Pier Avenue Elementary,,
Prospect Heights Elementary,,
South Elementary,,
Valley Vista Middle,,
Wilder's Preparatory Academy Charter,,(310) 671-5578
Wilder's Preparatory Academy Charter Middle,,(310) 671-5578
Today's Fresh Start Charter School Inglewood,,(310) 680-7599
ICEF Inglewood Elementary Charter Academy,,(323) 298-6420
ICEF Inglewood Middle Charter Academy,,(323) 298-6425
Inglewood Academy,,
Children of Promise Preparatory Academy,,(310) 677-3014
Grace Hopper STEM Academy,,(310) 910-0230
Independent Study,,
Inglewood Unified Community Day,,
City Honors College Preparatory Academy,442.0,(310) 680-4880
Animo Inglewood Charter High,448.0,(310) 673-0956
Kew (James) Elementary,,
Woodworth Cerebral Palsy Elem.,,
Desert View Community Day,,(661) 944-2372
Mountain View,,
Sunset View Elementary,,
Foothills (Special Education),,
Chilao Mountain Elementary,,
Foothill Intermediate,,
Oak Grove Elementary,,
Transition Serivces,,
Endeavour Middle,,(661) 943-8270
John and Jacquelyn Miller Elementary,,(661) 726-1826
Early Childhood Education,,(661) 723-0351
Life Source International Charter,,(661) 579-2970
Discovery,,(661) 949-3175
iLEAD Lancaster Charter,,(661) 722-4287
Fulton and Alsbury Academy of Arts and Engineering,,(661) 206-0120
Amargosa Creek Middle,,(661) 729-6064
Lancaster Alternative and Virtual Academies,,(661) 726-5454
West Wind Elementary,,(661) 948-0192
New Vista Middle,,(661) 726-4271
Crossroads Community Day,,(661) 726-5454
Alice C. Stelle Middle,,(818) 224-4107
Mariposa School of Global Education,,(818) 707-7144
Buttercup Pre-School,,(818) 597-2153
Arthur E. Wright Elementary,,
Bay Laurel Elementary,,(818) 222-9022
Jane Addams Middle,,(310) 676-4806
Kit Carson Elementary,,
Kit Carson Elementary,,(310) 263-6830
Environmental Charter High,446.0,(310) 214-3400
Betsy Ross Elementary,,
Jonas Salk Elem.,,
Kit Carson Elementary,,
Lucille J. Smith Elementary,,(310) 970-2915
"Lennox Mathematics, Science and Technology Academy",418.0,(310) 680-5600
Dolores Huerta Elementary,,(310) 677-7050
Century Community Charter,,(310) 412-2286
Century Academy for Excellence,,(323) 752-8834
Animo Leadership High,416.0,(310) 216-3277
Development Center (H. M.),,
Fairford Elementary,,
Gettysburg Elementary,,
Focus Community Day (Elementary),,
Select Community Day (Secondary),,(562) 422-0357
Chavez Elementary,,(562) 590-0904
Dooley Elementary,,(562) 428-7274
Rosie the Riveter Charter High,,
Lindsey Academy,,(562) 423-6451
MATTIE Academy,,
Colegio New City,,
Beach High-Intensive Learning Program,,(562) 595-8893
"Ernest S. McBride, Sr. High",,(562) 425-3539
Intellectual Virtues Academy of Long Beach,,(562) 912-7017
Clear Passage Educational Center,,(888) 502-1116
Eunice Sato Academy of Math & Science,,(562) 598-7611
Helen Keller Middle,,(562) 421-8851
Boyd Senior High,,
Long Beach Unified Alternative Education,,
Juan Rodriguez Cabrillo High,,
Cabrillo High,388.0,(562) 951-7700
Options for Youth-Long Beach Charter,,
Premiere Education Charter,,
Pacific Learning Center Charter,,
Promise Academy,,
Renaissance High School for the Arts,483.0,(562) 901-0168
Avalon Elementary,,
Buffum Elementary,,
Camp Hi-Hill Elementary,,
Camp O-Ongo Elementary,,
Field Elem.,,
Nightingale Elementary,,
Tucker Elementary,,
Lee-Rossmoor Elementary,,
Oak Academy,,
Robinson Academy,,(562) 492-6003
Constellation Community Charter Middle,,
Long Beach Preparatory Academy (Altern),,
Powell Academy for Success,,(310) 631-8794
New City,,
Central Neighborhood Facilitie,,
N.E.W. Academy of Science and Arts,,(213) 413-9183
Cornerstone Prep Charter,,
Stella Middle Charter Academy,,(323) 406-7155
High Tech LA,508.0,(818) 609-2640
Accelerated Charter Elementary,,(323) 846-6694
Wallis Annenberg High,416.0,(323) 235-6343
CLAS Affirmation,,
North Valley Military Institute College Preparatory Academy,,(818) 368-1557
Lincoln Heights Value,,
Central City Value,404.0,(213) 471-4686
KIPP Los Angeles College Preparatory,,(323) 264-7737
View Park Preparatory Accelerated High,382.0,(323) 290-6975
Jessie Owens Community Day,,
William J. Johnston Community Day,,(310) 832-0376
KIPP Academy of Opportunity,,(323) 778-0125
Richard Riordan Primary Center,,(323) 551-6822
CHIME Charter Middle,,
Crenshaw Arts-Technology Charter High,381.0,(323) 293-3917
Oscar De La Hoya Animo Charter High,398.0,(323) 780-1259
Renaissance Arts Academy,506.0,(323) 259-5700
Los Angeles Educational Achievement Partnership,,
Aggeler Community Day,,(818) 341-1232
Ocean Charter,,(310) 827-5511
Renaissance Academy Charter High,,
PUC Milagro Charter,,(323) 223-1786
Animo South Los Angeles Charter,376.0,(323) 779-0544
PUC Lakeview Charter Academy,,(818) 485-0340
N.E.W. Academy Canoga Park,,(818) 710-2640
Dr. Theodore T. Alexander Jr. Science Center,,(213) 746-1995
New Designs Charter,411.0,(213) 765-9084
CityLife Downtown Charter,,
Richard A. Alonzo Community Day,,(323) 817-6500
Middle College High,435.0,(323) 418-4700
Harbor Teacher Preparation Academy,509.0,(310) 834-3932
Ivy Academia,431.0,(818) 716-0771
Synergy Charter Academy,,(323) 235-7960
Camino Nuevo Charter High,413.0,(213) 240-8700
Animo Venice Charter High,414.0,(310) 392-8751
Animo Pat Brown,377.0,(323) 585-3312
Southern California School of Arts and Sciences,,
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,436.0,(213) 745-8141
Bert Corona Charter,,(818) 834-5805
Bellingham Elementary,,(818) 759-0119
Maple Primary Center,,(323) 232-0984
Stanford Primary Center,,(323) 563-9208
Charles White Elementary,,(213) 487-9172
Harmony Elementary,,(323) 238-0791
Manual Arts New Elementary School #1,,
Vista Middle,,(818) 901-2727
Southeast Middle,,(323) 568-3100
Orthopaedic Hospital,444.0,(213) 765-2088
Northridge Academy High,464.0,(818) 700-2222
International Studies Learning Center at Legacy High School Complex,457.0,(323) 357-7521
Port of Los Angeles High,487.0,(310) 832-9201
CHAMPS - Charter HS of Arts-Multimedia & Performing,497.0,(818) 994-7614
Gabriella Charter,,(213) 413-5741
Alliance Judy Ivie Burton Technology Academy High,408.0,(323) 920-6125
Alliance Richard Merkin Middle,,
Celerity Nascent Charter,,(323) 732-6613
Larchmont Charter,,(323) 656-6418
Alliance Collins Family College-Ready High,390.0,(323) 923-1588
Olympic Primary Center,,(213) 739-2753
Lake Street Primary,,(213) 413-3305
Martha Escutia Primary Center,,(323) 585-8237
Garza (Carmen Lomas) Primary Center,,(323) 981-0270
"Danny J. Bakewell, Sr., Primary Center",,(323) 751-3887
Hooper Avenue Primary Center,,(323) 233-5866
Mariposa-Nabi Primary Center,,(213) 385-0241
Lexington Avenue Primary Center,,(323) 644-2884
Middleton Primary Center,,(323) 826-9533
Amanecer Primary Center,,(323) 264-6494
Hollywood Primary Center,,(323) 464-0331
Washington Primary Center,,(323) 779-7750
Harvard Elementary,,(323) 953-4540
Pacific Boulevard,,(323) 586-8640
Ricardo Lizarraga Elementary,,(323) 235-6960
Aurora Elementary,,(323) 238-1500
John W. Mack Elementary,,(323) 730-7620
Maywood Elementary,,(323) 890-2440
Rosa Parks Learning Center,,(818) 895-9620
Panorama City Elementary,,(818) 895-4230
Maurice Sendak Elementary,,(818) 509-3400
Kingsley Elementary,,(323) 644-7700
Madison Elementary,,(323) 568-3900
Hope Street Elementary,,(323) 586-5700
Cesar Chavez Elementary,,(323) 276-1440
Santee Education Complex,382.0,(213) 763-1000
South East High,439.0,(323) 568-3400
Maywood Academy High,420.0,(323) 838-6000
Cal Burke High,,(818) 781-7665
PUC CA Academy for Liberal Studies Early College High,437.0,
PUC Community Charter Early College High,,
James Jordan Middle,,(818) 882-2496
Our Community Charter,,(818) 350-5000
Crescendo Charter,,
Giraffe Charter,,
Los Angeles Academy of Arts & Enterprise Charter,388.0,(213) 487-0600
Los Angeles Technology Center,,(323) 732-0153
Frida Kahlo High,,(213) 763-1090
New Heights Charter,,(323) 508-0155
New Village Girls Academy,374.0,(213) 385-4015
Alliance Patti And Peter Neuwirth Leadership Academy,386.0,(213) 342-2874
Alliance Dr. Olga Mohan High,407.0,(213) 342-2870
Alliance Jack H. Skirball Middle,,(323) 905-1377
Animo Ralph Bunche Charter High,387.0,(323) 232-9436
Animo Jackie Robinson High,377.0,(323) 846-5800
Animo Justice Charter High,,
Animo Film and Theater Arts Charter High,,
Animo Locke Technology High,,
Animo Watts College Preparatory Academy,362.0,(323) 756-3930
Alliance Ouchi-O'Donovan 6-12 Complex,397.0,(323) 596-2290
Alliance Marc & Eva Stern Math and Science,439.0,(323) 987-2144
Fourth Street Primary Center,,
George De La Torre Jr. Elementary,,(310) 847-1400
Frank del Olmo Elementary,,(213) 427-7200
Charles H. Kim Elementary,,(213) 368-5600
Huntington Park Elementary,,(323) 869-5920
Wilshire Park Elementary,,(213) 739-4760
William Jefferson Clinton Middle,,(323) 235-7200
School of Business and Tourism at Contreras Learning Complex,403.0,(213) 240-3800
East Valley Senior High,415.0,(818) 753-4400
Arleta High,397.0,(818) 686-4100
Panorama High,411.0,(818) 909-4500
Hesby Oaks Leadership Charter,,(818) 528-7000
PUC Triumph Charter Academy,,
PUC Excel Charter Academy,,(323) 222-5010
Crescendo Charter Academy,,
Lou Dantzler Preparatory Charter Middle,,
Los Feliz Charter School for the Arts,,(323) 539-2810
Nuevo Sol Charter,,
Gifted Academy of Mathematics and Entrepreneurial Studies,,(323) 294-2008
Crescendo Charter Conservatory,,
Frederick Douglass Academy Middle,,
Bright Star Secondary Charter Academy,435.0,(424) 789-8337
Lou Dantzler Preparatory Charter High,,
Frederick Douglass Academy High,378.0,
"Arleta High School of Science, Math & Related Technologies (S.M.A.R.T.)",,
Jordan New Technology High,,
Student Empowerment Academy,372.0,
Contreras Learning Center-Los Angeles School of Global Studies,378.0,(213) 240-3850
John H. Liechty Middle,,(213) 989-1200
West Adams Preparatory High,385.0,(323) 373-2500
Aspire Junior Collegiate Academy,,(323) 583-5421
Alliance College-Ready Academy High No. 7,,
Monsenor Oscar Romero Charter Middle,,(213) 413-9600
Global Education Academy,,(323) 232-9588
Magnolia Science Academy 3,418.0,(310) 637-3806
Fenton Primary Center,,(818) 485-5900
"Ivy Bound Academy of Math, Science, and Technology Charter Middle",,(818) 808-0158
Design High,,
Center for Advanced Learning,,(323) 232-0245
Magnolia Science Academy 2,427.0,(818) 758-0300
Pacifica Community Charter #2,,
Discovery Charter Preparatory School #2,373.0,(818) 897-1187
Thurgood Marshall Charter Middle,,
Thurgood Marshall Charter High,,
ICEF Vista Middle Academy,,(323) 298-6400
Fernando Pullum Performing Arts High,,
Full Circle Learning Academy,,
Crescendo Charter Preparatory West,,
Celerity Dyad Charter,,(323) 231-1202
Crescendo Charter Preparatory Central,,
Celerity Troika Charter,,(323) 344-0160
Crescendo Charter Preparatory South,,
Alliance Morgan McKinzie High,375.0,(323) 859-0750
Alliance Christine O'Donovan Middle Academy,,
Jack London Community Day,,(818) 756-2795
Dr. James Edward Jones Primary Center,,(323) 235-8911
Enadia Technology Enriched Charter,,(818) 595-3900
Roy Romer Middle,,(818) 505-2200
Edward R. Roybal Learning Center,408.0,(213) 580-6400
Helen Bernstein High,391.0,(323) 817-6460
APEX Academy,368.0,(323) 817-6550
Special Education-Infant/Preschool Program,,(213) 241-4713
Legacy Charter High,,
Alliance Piera Barabaglia Shaheen Health Services Academy,393.0,(323) 972-9010
Alliance Leichtman-Levine Family Foundation Environmental Science High,444.0,(323) 739-0560
New Los Angeles Charter,,(323) 939-6400
Magnolia Science Academy 4,405.0,(310) 473-2464
Magnolia Science Academy 5,,(818) 705-5676
Magnolia Science Academy 6,,(310) 842-8555
Magnolia Science Academy 7,,(818) 886-0585
Contreras Learning Center-Academic Leadership Community,390.0,(213) 240-3815
Civitas School of Leadership,,
Los Angeles High School of the Arts,409.0,(213) 480-4600
Los Angeles Teacher Preparatory Academy,339.0,
School for the Visual Arts and Humanities,394.0,(213) 480-4700
ABC Charter Middle,,
Para Los Niños Middle,,(213) 896-2640
Synergy Kinetic Academy,,(323) 846-2225
KIPP Raices Academy,,(323) 780-3900
New Millennium Secondary,388.0,(310) 999-6162
Larchmont Charter-West Hollywood,,
ICEF Vista Elementary Academy,,(323) 298-6400
Lou Dantzler Preparatory Charter Elementary,,(323) 290-6968
ICEF Innovation Los Angeles Charter,,(323) 290-6997
Aspire Huntington Park Charter,,
Goethe International Charter,,(310) 306-3484
Anahuacalmecac International Preparatory High School of North America,,
Animo Locke Charter High School #3,,
Alain Leroy Locke College Preparatory Academy,364.0,(323) 420-2100
Animo Locke II College Preparatory Academy,,
Sun Valley High,385.0,(818) 394-4600
New Open World Academy K-12,402.0,(213) 480-3700
UCLA Community K-12,392.0,(213) 480-3750
Sal Castro Middle,,(213) 241-4416
School of Engineering and Technology,,
Ramon C. Cortines School of Visual and Performing Arts,446.0,(213) 217-8600
Young Oak Kim Academy,,(213) 739-6500
Animo Locke ACE Academy,,
Felicitas and Gonzalo Mendez High,382.0,(323) 981-6100
PUC Santa Rosa Charter Academy,,(323) 254-1703
Equitas Academy Charter,,(213) 201-0440
Endeavor College Preparatory Charter,,(323) 947-7311
Valor Academy Middle,,(818) 830-1700
Alliance College-Ready Middle Academy 4,,(323) 451-3009
Alliance College-Ready Middle Academy 5,,(323) 352-8034
PUC Nueva Esperanza Charter Academy,,
New Designs Charter School-Watts,371.0,(323) 418-0600
Academia Moderna,,(323) 923-0383
Daniel Pearl Journalism & Communications Magnet,470.0,(818) 654-3775
Aspire Titan Academy,,(323) 583-5421
Watts Learning Center Charter Middle,,(323) 565-4800
Futuro College Preparatory Elementary,,
Dorothy V. Johnson Community Day,,(323) 568-8400
Westside Innovative School House,,(310) 642-9474
Ararat Charter,,(818) 994-2904
Ambassador-Global Leadership,412.0,(213) 480-4540
Ambassador School-Global Education,,(213) 480-4520
Ingenium Charter,,(818) 456-4590
Alliance College-Ready Middle Academy 7,,
Alliance Cindy and Bill Simon Technology Academy High,364.0,(323) 744-2122
Alliance Tennenbaum Family Technology High,385.0,(323) 276-5545
KIPP Empower Academy,,(323) 750-2279
KIPP Comienza Community Prep,,(323) 589-1450
Crown Preparatory Academy,,(213) 448-9747
Carson-Gore Academy of Enviornmental Studies,,(323) 766-5500
Estrella Elementary,,(323) 846-4860
Quincy Jones Elementary,,(323) 235-7940
Dolores Huerta Elementary,,(213) 201-2000
Dr. Owen Lloyd Knox Elementary,,(323) 565-2960
Wisdom Elementary,,(323) 586-5760
Jaime Escalante Elementary,,(323) 890-2340
Judith F. Baca Arts Academy,,(323) 826-3560
Alta California Elementary,,(818) 830-4400
Julie Korenstein Elementary,,(818) 255-4140
Vista del Valle Dual Language Academy,,(818) 755-5300
Andres and Maria Cardenas Elementary,,(818) 908-6700
Stanley Mosk Elementary,,(818) 654-3600
Carlos Santana Arts Academy,,(818) 654-3600
TEACH Academy of Technologies,,(323) 777-2068
Environmental and Social Policy Magnet,390.0,(323) 441-4577
School of Law & Government at Roosevelt High,,
Humanitas Art School at Roosevelt High,,
"School of Science, Technology, Engineering & Math (STEM) at Roosevelt High",,
Academy of Medical & Health Sciences at Roosevelt High,,
"Math, Science, & Technology Magnet Academy at Roosevelt High",447.0,(323) 780-6500
Esteban Torres East LA Performing Arts Magnet,378.0,(323) 265-6725
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,386.0,(323) 265-6830
Social Justice Leadership Academy at Esteban E. Torres High No. 5,371.0,(323) 265-6865
East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,388.0,(323) 265-6760
Engineering and Technology Academy at Esteban E. Torres High No. 3,395.0,(323) 285-6795
Orchard Academies 2B,,(323) 826-3950
Orchard Academies 2C,,(323) 826-3975
Barack Obama Global Preparation Academy,,(323) 421-1700
Animo Jefferson Charter Middle,,(323) 232-1857
Animo Westside Charter Middle,,(323) 565-3251
Citizens of the World Charter Hollywood,,(323) 464-4292
Camino Nuevo Elementary #3,,(323) 730-7160
PUC Triumph Charter High,,
PUC Lakeview Charter High,390.0,(818) 356-2591
Aspire Gateway Academy Charter,,(323) 249-5750
Aspire Firestone Academy Charter,,(323) 249-5740
Para Los Niños - Evelyn Thurman Gratts Primary,,(213) 481-3200
Celerity Octavia Charter,,(323) 344-3622
Aspire Pacific Academy,394.0,(323) 589-2800
Vista Charter Middle,,(213) 201-4000
Magnolia Science Academy Bell,,(323) 826-3925
Valley Charter Elementary,,(818) 810-6713
Los Angeles Big Picture High,,
Valley Charter Middle,,(818) 988-9128
Antecello Preparatory Academy,,
Camino Nuevo Academy #2,,(213) 736-5542
Alliance Susan and Eric Smidt Technology High,,(323) 352-3206
Alliance Ted K. Tajima High,378.0,(213) 241-8533
Arts In Action Community Charter,,(323) 266-4371
Celerity Palmati Charter,,(818) 753-2712
Celerity Cardinal Charter,,(323) 223-9184
Animo Ellen Ochoa Charter Middle,,(323) 565-3245
Animo James B. Taylor Charter Middle,,(323) 568-8613
Animo Western Charter Middle,,(323) 600-6000
Animo Phillis Wheatley Charter Middle,,(323) 600-6099
Extera Public,,(323) 780-8300
Rise Kohyang Middle,,(424) 789-8338
Valley Academy of Arts and Sciences,440.0,(818) 832-7750
Cesar E. Chavez Learning Academy - Arts/Theatre/Entertain Mag,369.0,(818) 837-6428
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,401.0,(818) 838-3915
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),413.0,(818) 838-3926
Cesar E. Chavez Learning Academies-Teacher Preparation Academy,401.0,(818) 838-3946
Los Angeles River at Sonia Sotomayor Learning Academies,383.0,(323) 276-5535
School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,430.0,(323) 276-5500
ARTLAB at Sonia Sotomayor Learning Academics,,
Dr. Julian Nava Learning Academies-School of Arts and Culture,,(323) 846-2200
Dr. Julian Nava Learning Academies-School of Business and Technology,,(323) 846-2200
Social Justice Schools: Global Issues Academy at Dr. Maya Angelou Community High,,
Dr. Maya Angelou Community High,363.0,(323) 846-4700
Public Service Community at Diego Rivera Learning Complex,406.0,(323) 846-2128
Communication and Technology at Diego Rivera Learning Complex,373.0,(323) 846-2118
Green Design at Diego Rivera Learning Complex,375.0,(323) 846-2108
Performing Arts Community at Diego Rivera Learning Complex,372.0,(323) 846-2136
Rancho Dominguez Preparatory,420.0,(310) 354-3400
Synergy Quantum Academy,419.0,(323) 846-4716
Aspire Slauson Academy Charter,,(323) 235-8400
Aspire Juanita Tate Academy Charter,,(323) 235-8400
Aspire Inskeep Academy Charter,,(323) 235-8400
Los Angeles Leadership Primary Academy,,(213) 381-8484
Camino Nuevo Charter Academy #4,,(213) 353-5300
Animo College Preparatory Academy,359.0,(323) 568-4136
Alliance Renee and Meyer Luskin Academy High,364.0,(323) 905-1210
PUC Early College Academy for Leaders and Scholars (ECALS),401.0,(323) 276-5525
Alliance Margaret M. Bloomfield Technology Academy High,,(323) 537-2060
Academy for Enriched Sciences,,(818) 609-8421
KIPP Philosophers Academy,,(323) 584-6664
KIPP Scholar Academy,,(323) 292-2272
KIPP Sol Academy,,(323) 800-5220
USC Hybrid High,,(213) 929-1046
Leadership in Entertainment and Media Arts (LEMA),354.0,
San Fernando Institute of Applied Media,,(818) 837-5455
STEM Academy at Bernstein High,399.0,(323) 817-6461
Apple Academy Charter Public,,(323) 348-4276
The City,,
Math and Science College Preparatory,,(323) 821-1393
