subtypes,supertypes
Bear,Legendary
"Human,Druid",Snow
Elk,Snow
Sliver,Legendary
Avatar,Legendary
Snake,Snow
Wrenn,Legendary
"Human,Wizard",Legendary
Serpent,Legendary
"Human,Knight",Legendary
"Viashino,Shaman",Legendary
Equipment,Legendary
"Vampire,Noble",Legendary
Praetor,Legendary
"Human,Scout",Legendary
"Cephalid,Noble",Legendary
"Human,Minion",Legendary
"Human,Wizard",Legendary
Atog,Legendary
Eldrazi,Legendary
Angel,Legendary
Chandra,Legendary
"Kor,Cleric",Legendary
"Human,Wizard",Legendary
Jace,Legendary
Demon,Legendary
"Human,Cleric",Legendary
"Human,Shaman",Legendary
Chandra,Legendary
"Rat,Ninja",Legendary
"Human,Spellshaper",Legendary
"Human,Spellshaper",Legendary
"Human,Noble",Legendary
"Vampire,Cat",Legendary
Angel,Legendary
"Minotaur,Warrior",Legendary
Treefolk,Legendary
Vampire,Legendary
"Elf,Warrior",Legendary
"Elder,Dinosaur",Legendary
"Merfolk,Shaman",Legendary
"Centaur,Druid",Legendary
"Elf,Ooze,Wizard",Legendary
"Merfolk,Wizard",Legendary
Domri,Legendary
Vampire,Legendary
Gideon,Legendary
Goblin,Legendary
Jace,Legendary
Island,Basic
Sphinx,Legendary
"Zombie,Elf",Legendary
Swamp,Basic
"Faerie,Wizard",Legendary
"Merfolk,Rogue",Legendary
Scarecrow,Legendary
Angel,Legendary
Angel,Legendary
Jace,Legendary
Arlinn,Legendary
Arlinn,Legendary
"Frog,Horror",Legendary
"Kirin,Spirit",Legendary
"Human,Wizard",Legendary
Spirit,Legendary
"Human,Wizard",Legendary
Spirit,Legendary
Spirit,Legendary
"Kirin,Spirit",Legendary
Spirit,Legendary
"Elemental,Giant",Legendary
Demigod,Legendary
Demigod,Legendary
God,Legendary
"Elder,Giant",Legendary
Dog,Legendary
"Zombie,Hydra",Legendary
"Human,Soldier",Legendary
God,Legendary
Gorgon,Legendary
Hydra,Legendary
Sphinx,Legendary
"Human,Rogue",Legendary
"Elf,Warrior",Legendary
"Bird,Soldier",Legendary
"Human,Minion",Legendary
"Human,Spellshaper",Legendary
Treefolk,Legendary
"Human,Knight",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
"Human,Warrior",Legendary
"Human,Shaman",Legendary
"Human,Artificer",Legendary
"Human,Scout",Legendary
"Dragon,Avatar",Legendary
"Centaur,Warrior",Legendary
"Elf,Druid",Legendary
Liliana,Legendary
"Human,Assassin",Legendary
Jaya,Legendary
Arlinn,Legendary
Ajani,Legendary
Yanggu,Legendary
Domri,Legendary
Angrath,Legendary
Ashiok,Legendary
"Zombie,God",Legendary
Bolas,Legendary
Teferi,Legendary
"Elf,Scout",Legendary
Dovin,Legendary
Gideon,Legendary
Horror,Legendary
Horror,Legendary
Jace,Legendary
Kraken,Legendary
"Vampire,Cleric",Legendary
"Human,Pirate",Legendary
"Merfolk,Shaman",Legendary
"Vampire,Knight",Legendary
Vraska,Legendary
"Elf,Spirit",Legendary
Forest,Basic
Shapeshifter,Legendary
"Elf,Ally",Legendary
"Human,Warrior",Legendary
"Leviathan,Crab",Legendary
Mountain,Basic
Elemental,Legendary
Serpent,Legendary
"Vampire,Rogue",Legendary
"Merfolk,Rogue",Legendary
Plains,Basic
Plains,Basic
Plains,Basic
Island,Basic
"Minotaur,Warrior",Legendary
Elemental,Legendary
Elemental,Legendary
"Kor,Cleric",Legendary
Serpent,Legendary
"Elemental,Boar",Legendary
"Vampire,Rogue",Legendary
"Merfolk,Rogue",Legendary
Tezzeret,Legendary
Liliana,Legendary
Sarkhan,Legendary
Bear,Legendary
Vivien,Legendary
Bolas,Legendary
"Elder,Dragon",Legendary
Sarkhan,Legendary
Vivien,Legendary
Angel,Legendary
Chandra,Legendary
Chandra,Legendary
Chandra,Legendary
Hydra,Legendary
Vivien,Legendary
"Elemental,Horror",Legendary
Sorin,Legendary
Chandra,Legendary
"Human,Wizard",Legendary
Shrine,Legendary
"Human,Shaman",Legendary
Garruk,Legendary
Plains,Basic
Plains,Basic
Plains,Basic
Island,Basic
Island,Basic
Island,Basic
Swamp,Basic
Ugin,Legendary
Basri,Legendary
Chandra,Legendary
Garruk,Legendary
Basri,Legendary
Teferi,Legendary
"Zombie,Elf",Legendary
Tezzeret,Legendary
Swamp,"Basic,Snow"
Serra,Legendary
"Human,Soldier",Legendary
Crab,Snow
"Human,Artificer",Legendary
Aura,Snow
"Human,Cleric",Legendary
"Human,Scout",Snow
"Goblin,Warrior",Legendary
Wurm,Snow
Forest,"Basic,Snow"
Golem,Snow
Plains,"Basic,Snow"
"Demon,Spirit",Legendary
"Viashino,Shaman",Legendary
"Human,Rebel",Legendary
Goblin,Legendary
"Faerie,Wizard",Legendary
"Elf,Wizard",Legendary
"Elf,Warrior",Legendary
Golem,Legendary
Shapeshifter,Legendary
Praetor,Legendary
Praetor,Legendary
Praetor,Legendary
Praetor,Legendary
"Bird,Soldier",Legendary
Nissa,Legendary
Wizard,Legendary
"Human,Soldier",Legendary
"Human,Soldier",Legendary
Gideon,Legendary
Sphinx,Legendary
Liliana,Legendary
"Elf,Warrior",Legendary
"Elf,Scout",Legendary
Nissa,Legendary
"Human,Ninja",Legendary
"Horror,Spellshaper",Legendary
"Human,Wizard",Legendary
"Cat,Warrior",Legendary
"Human,Soldier",Legendary
Dryad,Legendary
"Human,Wizard",Legendary
"Elf,Shaman",Legendary
Gorgon,Legendary
"Elder,Dinosaur",Legendary
"Elder,Dinosaur",Legendary
"Vampire,Knight",Legendary
Huatli,Legendary
Aura,Legendary
"Elder,Dinosaur",Legendary
Angrath,Legendary
Domri,Legendary
Dovin,Legendary
"Human,Shaman",Legendary
Kaya,Legendary
"Human,Soldier",Legendary
"Human,Advisor",Legendary
Dovin,Legendary
Eldrazi,Legendary
"Vampire,Shaman",Legendary
Demon,Legendary
"Goblin,Shaman",Legendary
Mountain,Basic
Forest,Basic
Nahiri,Legendary
"Vampire,Knight",Legendary
Angel,Legendary
Sorin,Legendary
Spirit,Legendary
Spirit,Legendary
"Human,Advisor",Legendary
"Human,Rogue",Legendary
Spirit,Legendary
Spirit,Legendary
Spirit,Legendary
Spirit,Legendary
Elspeth,Legendary
"Dragon,Skeleton",Legendary
Venser,Legendary
"Vampire,Noble",Legendary
Demigod,Legendary
Elspeth,Legendary
"Human,Soldier",Legendary
God,Legendary
God,Legendary
God,Legendary
Demigod,Legendary
"Human,Wizard",Legendary
Satyr,Legendary
"Human,Warrior",Legendary
Equipment,Legendary
God,Legendary
God,Legendary
God,Legendary
God,Legendary
"Human,Warrior",Legendary
Angel,Legendary
"Human,Warrior",Legendary
"Merfolk,Wizard",Legendary
Angel,Legendary
Illusion,Legendary
"Human,Warrior",Legendary
"Human,Wizard",Legendary
"Zombie,Wizard",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
Elemental,Legendary
"Human,Wizard",Legendary
Karn,Legendary
Davriel,Legendary
"Boar,God",Legendary
Sarkhan,Legendary
Ugin,Legendary
"Human,Advisor",Legendary
Tibalt,Legendary
Nixilis,Legendary
Vehicle,Legendary
Homunculus,Legendary
"Zombie,God",Legendary
Sorin,Legendary
"Zombie,Elf,Wizard",Legendary
Tamiyo,Legendary
Tezzeret,Legendary
"Ogre,Warrior",Legendary
Elemental,Legendary
Swamp,Basic
"Human,Pirate",Legendary
Swamp,Basic
Swamp,Basic
Angel,Legendary
Mountain,Basic
Octopus,Legendary
Demon,Legendary
Sorin,Legendary
Mountain,Basic
Mountain,Basic
"Aetherborn,Rogue",Legendary
"Elemental,Avatar",Legendary
Elemental,Legendary
"Faerie,Wizard",Legendary
"Merfolk,Rogue",Legendary
Equipment,Legendary
"Vampire,Cleric",Legendary
Elemental,Legendary
"Hydra,Horror",Legendary
"Kor,Cleric",Legendary
Elemental,Legendary
Jace,Legendary
Nahiri,Legendary
"Vampire,Cleric",Legendary
Elemental,Legendary
Dragon,Legendary
Dragon,Legendary
Horror,Legendary
Liliana,Legendary
Garruk,Legendary
"Spirit,Cleric",Legendary
"Zombie,Warrior",Legendary
"Insect,Druid",Legendary
Sarkhan,Legendary
"Human,Monk",Legendary
"Orc,Warrior",Legendary
Equipment,Legendary
Mountain,Basic
Ajani,Legendary
"Kithkin,Archer",Legendary
"Treefolk,Shaman",Legendary
"Kithkin,Advisor",Legendary
Elemental,Legendary
"Elf,Warrior",Legendary
"Merfolk,Wizard",Legendary
"Goblin,Shaman",Legendary
"Faerie,Wizard",Legendary
Ajani,Legendary
Forest,Basic
Garruk,Legendary
Forest,Basic
Ajani,Legendary
"Human,Soldier",Legendary
Jace,Legendary
Demon,Legendary
Jace,Legendary
Liliana,Legendary
Demon,Legendary
Chandra,Legendary
"Human,Knight",Legendary
"Human,Wizard",Legendary
Dragon,Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
Ajani,Legendary
Tezzeret,Legendary
Sphinx,Legendary
Yanling,Legendary
Demon,Legendary
"Human,Cleric",Legendary
"Elf,Advisor",Legendary
"Bird,Wizard",Legendary
Elemental,Legendary
Angel,Legendary
Ajani,Legendary
Yanling,Legendary
Shrine,Legendary
"Human,Warlock",Legendary
Liliana,Legendary
Chandra,Legendary
Shrine,Legendary
Shrine,Legendary
"Human,Cleric",Legendary
"Elf,Warrior",Legendary
Shrine,Legendary
Swamp,Basic
Teferi,Legendary
Liliana,Legendary
Plains,Basic
Island,Basic
Swamp,Basic
Mountain,Basic
Forest,Basic
Garruk,Legendary
Island,"Basic,Snow"
Mountain,"Basic,Snow"
Lizard,Snow
Treefolk,Snow
"Human,Wizard",Legendary
"Human,Soldier",Legendary
"Human,Knight",Legendary
Griffin,Legendary
"Cat,Warrior",Legendary
Vampire,Legendary
"Human,Cleric",Legendary
Elf,Legendary
"Human,Rebel",Legendary
Karn,Legendary
"Human,Warrior",Legendary
"Human,Nomad",Legendary
"Human,Barbarian",Legendary
"Centaur,Druid",Legendary
"Human,Ally",Legendary
"Vampire,Warrior",Legendary
"Merfolk,Wizard",Legendary
"Elf,Ally",Legendary
"Cat,Giant",Legendary
"Human,Wizard",Legendary
Gorgon,Legendary
Dragon,Legendary
"Human,Druid",Legendary
Elemental,Legendary
"Human,Artificer",Legendary
Equipment,Legendary
Archon,Legendary
Elemental,Legendary
Hellion,Legendary
"Human,Wizard",Legendary
"Human,Spellshaper",Legendary
"Human,Spellshaper",Legendary
Dragon,Legendary
Dragon,Legendary
Dragon,Legendary
"Elf,Warrior",Legendary
Dragon,Legendary
Dragon,Legendary
"Human,Wizard",Legendary
Angel,Legendary
"Elder,Dinosaur",Legendary
"Elder,Dinosaur",Legendary
Angrath,Legendary
Sphinx,Legendary
Vraska,Legendary
Demon,Legendary
Eldrazi,Legendary
Eldrazi,Legendary
Angel,Legendary
Sarkhan,Legendary
"Dragon,Wizard",Legendary
Dryad,Legendary
Island,Basic
Vraska,Legendary
Swamp,Basic
"Zombie,Dragon",Legendary
Avatar,Legendary
"Sliver,Mutant",Legendary
"Giant,Shaman",Legendary
"Elf,Warrior",Legendary
"Human,Soldier",Legendary
Demon,Legendary
"Kirin,Spirit",Legendary
"Kirin,Spirit",Legendary
"Demon,Spirit",Legendary
"Human,Samurai",Legendary
Spirit,Legendary
"Kirin,Spirit",Legendary
"Human,Shaman",Legendary
Spirit,Legendary
"Cat,Cleric",Legendary
Zombie,Legendary
Koth,Legendary
"Elf,Warrior",Legendary
Sliver,Legendary
God,Legendary
Human,Legendary
Demigod,Legendary
Harpy,Legendary
Spider,Legendary
God,Legendary
Ashiok,Legendary
"Human,Advisor",Legendary
Calix,Legendary
"Merfolk,Artificer",Legendary
"Elder,Giant",Legendary
Elspeth,Legendary
Ashiok,Legendary
Plains,Basic
Elspeth,Legendary
"Human,Warrior",Legendary
God,Legendary
"Human,Soldier",Legendary
Ashiok,Legendary
"Human,Soldier",Legendary
"Human,Wizard",Legendary
"Zombie,Warrior",Legendary
Xenagos,Legendary
"Human,Cleric",Legendary
"Cephalid,Noble",Legendary
"Dwarf,Barbarian",Legendary
"Human,Rogue",Legendary
Human,Legendary
Human,Legendary
"Elder,Dragon",Legendary
Demon,Legendary
"Human,Wizard",Legendary
"Goblin,Advisor",Legendary
"Human,Spellshaper",Legendary
"Elf,Druid",Legendary
Ugin,Legendary
Angel,Legendary
Golem,Legendary
Gideon,Legendary
"Zombie,God",Legendary
Teyo,Legendary
Jace,Legendary
Narset,Legendary
Chandra,Legendary
Goblin,Legendary
"Zombie,Minotaur,Warrior",Legendary
Dog,Legendary
Nissa,Legendary
Vivien,Legendary
Kasmina,Legendary
Huatli,Legendary
"Zombie,God",Legendary
Angel,Legendary
"Dragon,Avatar",Legendary
Ral,Legendary
"Human,Mutant",Legendary
Kaya,Legendary
Kiora,Legendary
Nahiri,Legendary
Saheeli,Legendary
Samut,Legendary
Vraska,Legendary
Jace,Legendary
"Human,Warrior",Legendary
"Merfolk,Rogue",Legendary
"Vampire,Shaman",Legendary
Island,Basic
Jace,Legendary
"Merfolk,Wizard",Legendary
Island,Basic
"Dinosaur,Avatar",Legendary
Huatli,Legendary
Jace,Legendary
Huatli,Legendary
"Vampire,Warrior",Legendary
Chandra,Legendary
Nissa,Legendary
"Vampire,Rogue",Legendary
"Human,Knight",Legendary
Forest,Basic
Forest,Basic
Island,Basic
Jace,Legendary
Swamp,Basic
"Demon,Cleric",Legendary
"Minotaur,Warrior",Legendary
Forest,Basic
"Kor,Warrior",Legendary
"Human,Wizard",Legendary
"Angel,Wizard",Legendary
Nahiri,Legendary
Nissa,Legendary
"Elemental,Boar",Legendary
Nissa,Legendary
"Human,Warrior",Legendary
"Leviathan,Crab",Legendary
"Demon,Cleric",Legendary
"Kor,Warrior",Legendary
"Hydra,Horror",Legendary
"Human,Wizard",Legendary
"Angel,Wizard",Legendary
Plains,Basic
